id,title,author,category,type,tags,description,year,download_url,thumbnail_url
1,Aalap Paddhati,Devshenacharya,Philosophy,Searchable PDF,"strategy,war,classic",An ancient Chinese military treatise dating from the Late Spring and Autumn Period (roughly 5th century BC).,475 BC,https://archive.org/details/aalap-paddhati-001365,https://archive.org/services/get-item-image.php?identifier=https://archive.org/services/get-item-image.php?identifier=aalap-paddhati-001365
2,Aapt Mimansha,Samant Bhadracharya,Philosophy,Searchable PDF,"strategy,war,classic",An ancient Chinese military treatise dating from the Late Spring and Autumn Period (roughly 5th century BC).,475 BC,https://archive.org/details/aalap-paddhati-001365/Aapt_mimansa_001170.pdf,https://archive.org/services/get-item-image.php?identifier=https://archive.org/services/get-item-image.php?identifier=Aapt_mimansa_001170
